username,scopeoid
aajani,Scope:1961953
aandn,Scope:1961953
asriniva,Scope:45503
bbieb,Scope:1218975
cdayy,Scope:54126
cgprj,Scope:82254
Clar2,Scope:54127
cmchq,Scope:5855699
cspag,Scope:850053
ctmadmin,Scope:54134
dsco8,Scope:300465
dzamd,Scope:54136
echr6,Scope:3270438
emasf,Scope:54133
epudlo,Scope:54135
ingamsdp,Scope:3708864
jkooq,Scope:1236941
jle2l,Scope:328592
Kherh,Scope:144509
kpurdy@digital.ai,Scope:984993
lamba,Scope:238402
lkinz,Scope:1961953
nbatl,Scope:45503
nku49,Scope:1218975
rkleinfe,Scope:54126
scone,Scope:82254
sys-acoe-iris,Scope:54127
sys-bpbot035,Scope:5855699
sys-bpbot146,Scope:850053
sys-TT_PINT,Scope:54134
tseab,Scope:300465
twi3d,Scope:54136
