scopeID,username
1008,cwhiz
54126,mhoss
10167,saruv
44310,pcol6
44310,kquig
44310,cjffc
44347,mdune
44347,jmonx
222864,cobre
329008,PStankie
10167,raike
44310,jparz
44310,kdont
44310,ktahe
44347,bsiok
44310,rflem
44347,gphim
44347,hmicj
222864,jth3r
850053,kpavh
883857,msmjz
1133109,mdavy
1133109,pquig
1218975,svee5
1387054,srmaa
1688568,vpri6
1961953,akedl
44347,dvery
54126,lkalb
222864,rarum
222864,dgilk
222864,osbswao
329008,jdehp
329008,KMadkins
1387054,afaiu
1688568,jcusg
1961953,cbraj
10167,bkoch
44310,sdesx
54126,knida
