scopeid,userid,username
1008,1007,sys-snj_int
1008,1013,scone
1008,1014,twi3d
1008,1015,asriniva
1008,1016,dzamd
1008,1017,cspag
1008,1019,aajani
1008,1285,lamba
1008,1286,aandn
1008,1290,nbatl
1008,1295,ctonn
1008,1298,ac5yq
1008,1302,echr6
1008,1305,cdayy
1008,1306,jdehp
1008,1307,ddel4
1008,1310,mepsu
1008,1311,sgars
1008,1312,jgarl
1008,1314,mgeor
1008,1316,rgilk
1008,1317,cgon2
1008,1318,bbieb
1008,1320,acczc
1008,1323,Kherh
1008,1324,hmcgi
1008,1330,shyaa
1008,1331,ingamsdp
1008,1336,akauu
1008,1337,cg40j
1008,1338,bkelm
1008,1339,kkenp
1008,1340,kpurdy@digital.ai
1008,1342,lkinz
1008,1343,rkleinfe
1008,1346,nku49
1008,1347,Clar2
1008,1349,aleda
1008,1352,jle2l
1008,1356,emasf
1008,1358,jmaco
1008,1362,gmcro
1008,1364,cmchq
1008,1365,jmc26
1008,1367,cmck6
1008,1370,rconrad
1008,1371,smeh2
1008,1378,kgarw
1008,1379,amoye
1008,1382,tnguj
1008,1386,ppalg
1008,1389,jpapf
1008,1391,jparz
1008,1396,cjy7w
1008,1397,lpetj
1008,1398,spetit
1008,1401,epudlo
1008,1411,jrose
1008,1413,prudd
1008,1416,cgprj
1008,1420,dsco8
1008,1421,dscott
1008,1422,tseab
1008,1423,aselz
1008,1424,dshih
1008,1425,Jsied
1008,1427,rsingh1
1008,1429,gsmi5
1008,1431,mst2z
1008,1432,tstbb
1008,1434,cstiw
1008,1437,wswaa
1008,1439,Acrzh
1008,1441,ctelf
1008,1443,sver8
1008,1446,jwas3
1008,1447,aando
1008,1449,ayanc
1008,1450,fyazb
1008,1451,pzap0
1008,1456,arut1
1008,8046,dca3p
1008,14558,ktim2
1008,14874,emakdah
1008,14875,ipoul
1008,15119,kcarney
1008,15123,jchey
1008,15137,kfaab
1008,15148,jgr2d
1008,15155,shoffmey
1008,15176,jknau
1008,15197,alucd
1008,15242,jpasv
1008,15249,rperry6
1008,15252,kpinh
1008,15261,srajt
1008,15272,lrotm
1008,15279,dsale
1008,15298,mshic
1008,15309,rsinf
1008,15333,iwhid
1008,15347,chani
1008,17308,marnt
1008,19086,lfrec
1008,35798,kache
1008,35812,lcaoa
1008,35823,dom3u
1008,35836,jkanq
1008,35854,rmcke
1008,35899,ssuby
1008,35905,wbran
1008,42234,cgc3h
1008,42235,sbins
1008,42236,dbuia
1008,42675,pagrf
1008,42871,aken2
1008,44336,ksansare
1008,45629,cspro
1008,45821,bkeit
1008,48056,actw6
1008,48061,ajady
1008,48081,bbuck
1008,48091,bst2l
1008,48097,cmagh
1008,48115,dmoh0
1008,48132,gcapl
1008,48135,ghoca
1008,48148,jdenn
1008,48151,jfrbe
1008,48153,jleeg
1008,48158,jroci
1008,48161,kbryk
1008,48169,KLARR
1008,48176,ksecl
1008,48186,ljo2m
1008,48187,lmcdl
1008,48188,lmcgq
1008,48192,lvejs
1008,48209,mphan
1008,48236,otoro
1008,48239,pcol6
1008,48260,rarum
1008,48275,rmoor
1008,48291,sbho5
1008,48312,smicn
1008,48315,smutm
1008,48323,spure
1008,48339,svijp
1008,48360,wbod2
1008,49203,sfreg
1008,49204,acy2k
1008,49607,jhodo
1008,50974,mmcli
1008,50976,pcava
1008,50982,jmavi
1008,50984,jma5e
1008,52282,ycotr
1008,54128,kmaher
1008,55089,jhopf
1008,55151,akgaa
1008,55152,ggord
1008,55163,ggumb
1008,55241,jcg99
1008,55279,cwasb
1008,55903,rdesi
1008,66112,kbase
1008,66118,oeyet
1008,66879,jha2c
1008,66880,cyou2
1008,66955,PROPPO
1008,67063,lzukk
1008,67711,dkot0
1008,67712,tmusd
1008,67724,ahojn
1008,67734,Ccqms
1008,67744,yraju
1008,67746,heath
1008,67748,lhurl
1008,67752,stalu
1008,68630,rfilipov
1008,69472,ltemaner
1008,70869,lleaf
1008,74154,nfitz
1008,74534,arom3
1008,74539,jcox
1008,75983,jgilu
1008,75984,kmals
1008,75986,C011179
1008,77421,jmullins
1008,78391,bstub
1008,79900,sgaoq
1008,80005,PStankie
1008,80006,CCA43
1008,80419,mguqg
1008,81295,ehenm
1008,81760,bkumy
